               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,             0.08464,            0.032715,           3.673e-08,             0.56457,             0.52251,             0.51288,             0.13891,            0.078911,            0.035744,          3.6665e-08,           0.0094555,           0.0094555,           0.0094555
                  35,            0.085089,            0.036001,          3.6866e-08,             0.58263,              0.5863,              0.5449,             0.16067,            0.078353,            0.035593,          3.6397e-08,            0.009439,            0.009439,            0.009439
                  36,            0.083164,            0.034188,          3.6863e-08,             0.61967,             0.59761,             0.57243,              0.1758,            0.076868,            0.035219,          3.5978e-08,           0.0094225,           0.0094225,           0.0094225
                  37,            0.082833,            0.029357,          3.6875e-08,             0.57503,             0.55441,             0.52371,             0.14574,            0.078235,            0.035342,          3.5542e-08,            0.009406,            0.009406,            0.009406
                  38,            0.082021,            0.029401,          3.6822e-08,             0.59831,             0.60222,             0.55846,             0.17008,            0.076519,            0.035306,           3.653e-08,           0.0093895,           0.0093895,           0.0093895
                  39,            0.083506,            0.031291,           3.744e-08,             0.58771,             0.57902,             0.51281,             0.14339,            0.080176,            0.040438,          3.8659e-08,            0.009373,            0.009373,            0.009373
                  40,            0.083245,            0.029748,          3.6832e-08,             0.58106,             0.61163,             0.56951,             0.17264,             0.07737,            0.037217,          3.7282e-08,           0.0093565,           0.0093565,           0.0093565
                  41,            0.084033,            0.032482,          3.7062e-08,              0.6214,             0.58349,             0.57707,             0.16768,            0.077627,             0.03504,          3.6336e-08,             0.00934,             0.00934,             0.00934
                  42,             0.08328,            0.036462,          3.6444e-08,             0.64763,             0.63227,             0.62605,             0.19071,            0.076538,            0.036477,          3.6003e-08,           0.0093235,           0.0093235,           0.0093235
                  43,            0.081916,            0.034638,          3.6481e-08,             0.54589,             0.55159,             0.49041,             0.13934,            0.077126,            0.034392,          3.5191e-08,            0.009307,            0.009307,            0.009307
                  44,            0.080953,            0.031367,          3.6169e-08,             0.56914,             0.55142,             0.50949,             0.13377,            0.078561,            0.033663,          3.5177e-08,           0.0092905,           0.0092905,           0.0092905
                  45,            0.081462,            0.033857,          3.5686e-08,             0.65066,             0.67636,             0.64962,             0.19827,            0.074429,            0.035147,          3.6047e-08,            0.009274,            0.009274,            0.009274
                  46,            0.081937,            0.031659,          3.5884e-08,             0.67137,             0.61069,             0.63355,             0.19557,            0.075514,            0.033779,          3.5151e-08,           0.0092575,           0.0092575,           0.0092575
                  47,            0.080562,            0.027863,          3.6288e-08,             0.58737,             0.55722,             0.52271,             0.14428,            0.078862,            0.033066,          3.4584e-08,            0.009241,            0.009241,            0.009241
                  48,            0.080769,            0.033813,          3.5922e-08,             0.68102,             0.62852,             0.65285,             0.21369,            0.073886,            0.033764,          3.4873e-08,           0.0092245,           0.0092245,           0.0092245
                  49,            0.080031,            0.030658,          3.5899e-08,             0.59043,             0.56122,             0.52846,             0.14506,            0.076918,            0.033972,          3.5058e-08,            0.009208,            0.009208,            0.009208
                  50,            0.084192,            0.033976,          3.5465e-08,             0.64795,             0.61632,             0.60987,             0.20095,            0.074397,            0.034571,          3.4532e-08,           0.0091915,           0.0091915,           0.0091915
                  51,            0.080844,            0.031037,          3.5401e-08,             0.64807,             0.65478,             0.63234,             0.20351,            0.073506,            0.034977,          3.4541e-08,            0.009175,            0.009175,            0.009175
                  52,            0.080236,            0.028519,           3.541e-08,             0.64707,             0.60413,             0.60841,             0.19746,            0.075435,            0.036138,           3.452e-08,           0.0091585,           0.0091585,           0.0091585
                  53,            0.078439,             0.02901,          3.5286e-08,             0.57917,             0.52158,             0.47996,             0.12459,            0.081056,            0.032264,          3.4333e-08,            0.009142,            0.009142,            0.009142
                  54,            0.078223,            0.030858,          3.5439e-08,             0.66791,             0.61445,             0.62141,             0.19993,            0.075433,            0.032942,          3.4545e-08,           0.0091255,           0.0091255,           0.0091255
                  55,            0.081651,            0.033188,          3.5447e-08,             0.62519,             0.62664,             0.60935,             0.18551,            0.075153,            0.038089,          3.5197e-08,            0.009109,            0.009109,            0.009109
                  56,            0.080572,            0.030816,          3.5524e-08,             0.63468,             0.62583,             0.63024,             0.21204,            0.073751,            0.033484,          3.4755e-08,           0.0090925,           0.0090925,           0.0090925
                  57,             0.08113,            0.030837,          3.5705e-08,             0.68643,             0.65197,             0.66885,             0.21863,            0.073556,            0.034694,          3.5013e-08,            0.009076,            0.009076,            0.009076
                  58,            0.077196,            0.033225,          3.5664e-08,             0.69682,              0.6182,             0.64837,              0.2187,            0.072892,            0.033589,          3.4746e-08,           0.0090595,           0.0090595,           0.0090595
                  59,            0.079936,            0.032146,           3.552e-08,             0.68734,             0.63723,             0.65113,             0.21418,            0.074298,            0.033534,          3.4824e-08,            0.009043,            0.009043,            0.009043
                  60,            0.077044,            0.031626,          3.5566e-08,             0.71423,             0.65854,             0.67813,             0.22995,             0.07381,            0.034799,          3.4806e-08,           0.0090265,           0.0090265,           0.0090265
                  61,            0.078823,            0.033139,          3.5393e-08,             0.72195,             0.61163,             0.66943,             0.23049,             0.07323,            0.033276,          3.4094e-08,             0.00901,             0.00901,             0.00901
                  62,            0.076683,            0.029672,          3.5131e-08,             0.73595,             0.65102,             0.69358,             0.23539,            0.073071,            0.033633,          3.3865e-08,           0.0089935,           0.0089935,           0.0089935
                  63,            0.078844,            0.033598,          3.5047e-08,              0.7141,             0.66323,             0.69203,             0.24488,            0.071849,            0.033875,          3.3888e-08,            0.008977,            0.008977,            0.008977
                  64,            0.074402,            0.029264,          3.4848e-08,             0.66993,             0.65666,             0.65434,             0.22093,            0.073167,            0.033608,          3.4165e-08,           0.0089605,           0.0089605,           0.0089605
                  65,            0.075396,            0.030273,          3.4893e-08,              0.7017,             0.64728,             0.67069,             0.23818,            0.072594,            0.033318,          3.3768e-08,            0.008944,            0.008944,            0.008944
                  66,            0.081336,            0.031622,           3.483e-08,             0.70145,             0.63415,             0.65852,             0.23568,            0.072219,            0.034019,            3.39e-08,           0.0089275,           0.0089275,           0.0089275
                  67,            0.077095,            0.028348,          3.4841e-08,             0.70801,             0.65666,             0.67472,             0.21802,            0.072357,            0.033537,          3.4508e-08,            0.008911,            0.008911,            0.008911
                  68,            0.079428,            0.028539,          3.4628e-08,             0.68684,             0.59872,             0.61683,             0.18639,            0.073391,            0.034269,          3.3909e-08,           0.0088945,           0.0088945,           0.0088945
                  69,            0.076557,            0.027788,          3.4647e-08,             0.70729,             0.68001,             0.70344,             0.23614,            0.071869,            0.034285,          3.4116e-08,            0.008878,            0.008878,            0.008878
                  70,            0.077935,            0.029789,          3.4692e-08,             0.68268,             0.62758,             0.64122,             0.21348,             0.07306,            0.034423,          3.3589e-08,           0.0088615,           0.0088615,           0.0088615
                  71,            0.077762,            0.029996,          3.4639e-08,             0.70452,             0.66323,             0.69065,             0.23475,            0.072434,            0.035714,          3.3965e-08,            0.008845,            0.008845,            0.008845
                  72,             0.07689,             0.03113,           3.491e-08,             0.69702,             0.61726,             0.66106,             0.22253,             0.07233,            0.033294,          3.3818e-08,           0.0088285,           0.0088285,           0.0088285
                  73,            0.076375,            0.031533,          3.4885e-08,             0.68338,             0.66135,             0.67506,             0.23356,            0.071928,            0.033053,          3.3619e-08,            0.008812,            0.008812,            0.008812
                  74,            0.078826,             0.03311,          3.4766e-08,             0.69601,             0.65291,             0.67767,             0.23827,            0.073452,            0.032813,            3.34e-08,           0.0087955,           0.0087955,           0.0087955
                  75,             0.07407,            0.027953,          3.4175e-08,             0.70315,             0.67636,             0.67436,             0.22482,            0.072087,            0.033735,          3.3653e-08,            0.008779,            0.008779,            0.008779
                  76,            0.075794,            0.028043,          3.4677e-08,             0.74466,             0.62946,             0.67823,             0.22634,            0.071258,            0.032553,           3.346e-08,           0.0087625,           0.0087625,           0.0087625
                  77,            0.075704,            0.028895,          3.4678e-08,              0.6926,             0.63619,             0.65809,             0.21084,             0.07428,            0.033536,          3.3835e-08,            0.008746,            0.008746,            0.008746
                  78,            0.075431,            0.031464,          3.4387e-08,             0.72271,             0.63884,             0.68527,             0.23976,            0.071089,            0.032147,          3.3638e-08,           0.0087295,           0.0087295,           0.0087295
                  79,            0.075868,            0.028411,          3.4431e-08,             0.70082,             0.63508,             0.66882,             0.23316,            0.072725,            0.032793,          3.3213e-08,            0.008713,            0.008713,            0.008713
