               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,             0.12577,             0.30066,          3.3407e-08,             0.21797,             0.30338,             0.17368,            0.044068,             0.12005,              0.5199,          3.4282e-08,           0.0094555,           0.0094555,           0.0094555
                  35,             0.12586,             0.30391,          3.3181e-08,             0.21797,             0.30338,             0.17368,            0.044068,             0.12005,              0.5199,          3.4282e-08,            0.009439,            0.009439,            0.009439
                  36,             0.12743,             0.31822,          3.3059e-08,             0.15429,             0.25825,             0.10999,            0.029397,             0.11909,             0.42646,          3.4565e-08,           0.0094225,           0.0094225,           0.0094225
                  37,             0.12642,             0.37986,          3.3419e-08,             0.15429,             0.25825,             0.10999,            0.029397,             0.11909,             0.42646,          3.4565e-08,            0.009406,            0.009406,            0.009406
                  38,             0.12558,             0.27297,          3.3691e-08,             0.21782,             0.34183,             0.16941,            0.045032,             0.11842,             0.45551,          3.3675e-08,           0.0093895,           0.0093895,           0.0093895
                  39,              0.1247,             0.25658,          3.2926e-08,             0.21782,             0.34183,             0.16941,            0.045032,             0.11842,             0.45551,          3.3675e-08,            0.009373,            0.009373,            0.009373
                  40,              0.1241,             0.27739,            3.34e-08,             0.17982,             0.27037,             0.12711,            0.034063,             0.11742,             0.45112,          3.4986e-08,           0.0093565,           0.0093565,           0.0093565
                  41,             0.12564,             0.29143,          3.3037e-08,             0.17982,             0.27037,             0.12711,            0.034063,             0.11742,             0.45112,          3.4986e-08,             0.00934,             0.00934,             0.00934
                  42,             0.12518,             0.29856,          3.3196e-08,             0.20927,              0.3481,             0.15762,             0.04268,             0.11639,             0.46134,           3.505e-08,           0.0093235,           0.0093235,           0.0093235
                  43,             0.12469,               0.299,          3.3095e-08,             0.20927,              0.3481,             0.15762,             0.04268,             0.11639,             0.46134,           3.505e-08,            0.009307,            0.009307,            0.009307
                  44,              0.1181,             0.28838,          3.3523e-08,              0.1905,             0.36899,             0.15922,              0.0466,             0.11575,              0.4355,          3.4689e-08,           0.0092905,           0.0092905,           0.0092905
                  45,             0.12176,             0.31202,           3.317e-08,              0.1905,             0.36899,             0.15922,              0.0466,             0.11575,              0.4355,          3.4689e-08,            0.009274,            0.009274,            0.009274
                  46,             0.12096,             0.30154,          3.3098e-08,             0.27337,              0.4229,             0.22061,            0.058736,             0.11525,              0.5403,          3.5145e-08,           0.0092575,           0.0092575,           0.0092575
                  47,             0.12109,             0.31717,          3.3178e-08,             0.27337,              0.4229,             0.22061,            0.058736,             0.11525,              0.5403,          3.5145e-08,            0.009241,            0.009241,            0.009241
                  48,              0.1256,             0.33279,          3.2814e-08,             0.19873,             0.38613,             0.17367,            0.048304,             0.11466,             0.43414,          3.4304e-08,           0.0092245,           0.0092245,           0.0092245
                  49,             0.12032,             0.28868,          3.3307e-08,             0.19873,             0.38613,             0.17367,            0.048304,             0.11466,             0.43414,          3.4304e-08,            0.009208,            0.009208,            0.009208
                  50,             0.12316,             0.29937,          3.2998e-08,             0.26814,              0.4264,             0.20944,            0.057726,             0.11397,             0.48058,          3.4348e-08,           0.0091915,           0.0091915,           0.0091915
                  51,             0.12133,             0.30998,          3.3133e-08,             0.26814,              0.4264,             0.20944,            0.057726,             0.11397,             0.48058,          3.4348e-08,            0.009175,            0.009175,            0.009175
