               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.085429,             0.10009,          3.1561e-08,              0.6103,             0.56191,             0.55285,             0.17685,            0.084526,             0.11217,          3.1374e-08,           0.0094555,           0.0094555,           0.0094555
                  35,            0.088585,             0.10917,          3.1594e-08,             0.66758,             0.60882,             0.61905,             0.20136,            0.082083,             0.11214,          3.1501e-08,            0.009439,            0.009439,            0.009439
                  36,              0.0847,             0.10593,          3.1583e-08,              0.6722,             0.62008,             0.62358,             0.21175,            0.079474,             0.11392,          3.0868e-08,           0.0094225,           0.0094225,           0.0094225
                  37,            0.085928,             0.09617,          3.1257e-08,              0.6754,             0.59143,             0.62344,             0.20629,            0.081441,             0.11215,          3.1517e-08,            0.009406,            0.009406,            0.009406
                  38,            0.084622,            0.094248,          3.1291e-08,             0.67224,             0.58682,             0.61024,             0.21924,            0.079764,             0.10994,          3.1178e-08,           0.0093895,           0.0093895,           0.0093895
                  39,             0.08592,              0.0989,          3.1035e-08,             0.62332,             0.59756,             0.57182,             0.17735,              0.0815,             0.11257,          3.0807e-08,            0.009373,            0.009373,            0.009373
                  40,            0.084775,             0.09345,          3.0936e-08,             0.66303,             0.60694,             0.62753,             0.20987,            0.080265,             0.11025,          3.1085e-08,           0.0093565,           0.0093565,           0.0093565
                  41,            0.088383,             0.10297,          3.1125e-08,             0.63958,             0.59929,             0.61334,             0.19361,            0.082209,             0.11342,          3.1139e-08,             0.00934,             0.00934,             0.00934
                  42,            0.086937,             0.10754,          3.1105e-08,             0.65617,             0.57974,             0.59012,             0.19389,              0.0811,             0.11228,          3.1361e-08,           0.0093235,           0.0093235,           0.0093235
                  43,              0.0861,             0.10738,          3.1226e-08,             0.66047,             0.60585,             0.62141,             0.20044,            0.079499,             0.11321,          3.1386e-08,            0.009307,            0.009307,            0.009307
                  44,            0.083555,             0.10094,          3.1506e-08,             0.71404,             0.61538,             0.66728,             0.23207,            0.080175,             0.10937,          3.1295e-08,           0.0092905,           0.0092905,           0.0092905
                  45,            0.083889,             0.10783,          3.1351e-08,             0.69813,             0.63321,              0.6537,             0.23239,            0.078451,             0.11033,          3.1656e-08,            0.009274,            0.009274,            0.009274
                  46,            0.085478,            0.098067,          3.1536e-08,             0.62462,             0.56663,             0.58776,             0.20554,            0.079026,             0.10714,          3.1692e-08,           0.0092575,           0.0092575,           0.0092575
                  47,            0.084138,            0.089118,          3.1532e-08,             0.68821,             0.58912,             0.62791,             0.21213,            0.081078,             0.10839,           3.152e-08,            0.009241,            0.009241,            0.009241
                  48,            0.083683,             0.10601,          3.1171e-08,             0.68759,             0.64005,             0.65705,             0.23335,            0.077651,             0.11392,          3.1157e-08,           0.0092245,           0.0092245,           0.0092245
                  49,            0.083941,            0.096526,          3.1188e-08,             0.68841,             0.63977,             0.66282,             0.22834,            0.079022,             0.11519,          3.1025e-08,            0.009208,            0.009208,            0.009208
                  50,            0.086756,             0.10499,          3.0895e-08,             0.69198,             0.60062,             0.65909,             0.23055,             0.07788,             0.11121,             3.1e-08,           0.0091915,           0.0091915,           0.0091915
                  51,            0.085107,              0.0968,          3.1068e-08,             0.69742,             0.61838,             0.65315,             0.23236,            0.077214,             0.10728,          3.1124e-08,            0.009175,            0.009175,            0.009175
                  52,            0.081799,            0.090211,          3.0928e-08,             0.71671,             0.61069,             0.65342,             0.23125,            0.079232,             0.10832,          3.0792e-08,           0.0091585,           0.0091585,           0.0091585
                  53,            0.082184,            0.092098,          3.0908e-08,             0.68483,             0.59193,              0.6012,             0.19066,            0.080726,             0.10788,           3.104e-08,            0.009142,            0.009142,            0.009142
                  54,             0.08224,            0.097362,          3.1146e-08,             0.68459,             0.61163,             0.63947,             0.21519,            0.079505,             0.10794,          3.1413e-08,           0.0091255,           0.0091255,           0.0091255
                  55,            0.085984,             0.10035,          3.1052e-08,             0.69103,             0.60319,             0.62939,             0.20934,            0.078421,             0.11023,          3.0988e-08,            0.009109,            0.009109,            0.009109
                  56,            0.083825,            0.098188,          3.1054e-08,             0.70867,             0.58724,             0.64618,             0.23841,            0.076985,             0.11168,          3.0954e-08,           0.0090925,           0.0090925,           0.0090925
                  57,            0.084393,             0.10014,           3.095e-08,             0.70112,             0.61069,             0.64741,             0.21695,            0.078478,             0.11388,          3.0959e-08,            0.009076,            0.009076,            0.009076
                  58,            0.081093,             0.10309,          3.1066e-08,             0.70635,             0.61376,             0.65259,             0.23183,            0.078244,             0.11139,          3.0665e-08,           0.0090595,           0.0090595,           0.0090595
                  59,            0.083963,            0.098631,          3.0979e-08,             0.70231,             0.63227,             0.66882,             0.23971,            0.077689,             0.11046,          3.0921e-08,            0.009043,            0.009043,            0.009043
                  60,            0.080994,            0.098084,          3.0954e-08,             0.74078,             0.60587,             0.66071,             0.24199,            0.078477,             0.11188,          3.0782e-08,           0.0090265,           0.0090265,           0.0090265
